NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
007,1,1,2:16.892,0,,58.559,0,56.302,0,22.031,0,111.4,2:16.892,15:51:16.892,0:58.559,0:56.302,0:22.031,,Harry TINCKNELL,0:00:30.120,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,58.559,56.302,22.031,
007,1,2,1:32.229,0,,24.884,0,47.109,0,20.236,0,168.2,3:49.121,15:52:49.121,0:24.884,0:47.109,0:20.236,202.8,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,24.884,47.109,20.236,
007,1,3,1:31.652,0,,22.650,0,46.470,0,22.532,0,169.3,5:20.773,15:54:20.773,0:22.650,0:46.470,0:22.532,234.6,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.650,46.470,22.532,
007,1,4,1:26.303,0,,22.492,0,44.158,0,19.653,0,179.7,6:47.076,15:55:47.076,0:22.492,0:44.158,0:19.653,233.1,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.492,44.158,19.653,
007,1,5,1:24.006,2,,21.558,0,42.901,2,19.547,2,184.7,8:11.082,15:57:11.082,0:21.558,0:42.901,0:19.547,264.1,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.558,42.901,19.547,
007,1,6,1:24.457,0,,21.568,0,43.322,0,19.567,0,183.7,9:35.539,15:58:35.539,0:21.568,0:43.322,0:19.567,268.7,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.568,43.322,19.567,
007,1,7,1:24.576,0,,21.529,2,43.336,0,19.711,0,183.4,11:00.115,16:00:00.115,0:21.529,0:43.336,0:19.711,266.0,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.529,43.336,19.711,
007,1,8,1:34.655,0,B,21.962,0,45.192,0,27.501,0,163.9,12:34.770,16:01:34.770,0:21.962,0:45.192,0:27.501,256.1,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.962,45.192,27.501,
007,1,9,3:00.774,0,,1:53.676,0,46.942,0,20.156,0,85.8,15:35.544,16:04:35.544,1:53.676,0:46.942,0:20.156,,Harry TINCKNELL,0:01:37.561,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,113.676,46.942,20.156,
007,1,10,1:26.747,0,,22.253,0,44.425,0,20.069,0,178.8,17:02.291,16:06:02.291,0:22.253,0:44.425,0:20.069,253.7,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.253,44.425,20.069,
007,1,11,1:26.656,0,,22.174,0,44.450,0,20.032,0,179.0,18:28.947,16:07:28.947,0:22.174,0:44.450,0:20.032,248.5,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.174,44.450,20.032,
007,1,12,1:26.737,0,,22.071,0,44.713,0,19.953,0,178.8,19:55.684,16:08:55.684,0:22.071,0:44.713,0:19.953,257.3,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.071,44.713,19.953,
007,1,13,1:26.365,0,,22.100,0,44.289,0,19.976,0,179.6,21:22.049,16:10:22.049,0:22.100,0:44.289,0:19.976,260.3,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.100,44.289,19.976,
007,1,14,1:26.269,0,,22.138,0,44.183,0,19.948,0,179.8,22:48.318,16:11:48.318,0:22.138,0:44.183,0:19.948,249.0,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.138,44.183,19.948,
007,1,15,1:26.692,0,,21.994,0,44.534,0,20.164,0,178.9,24:15.010,16:13:15.010,0:21.994,0:44.534,0:20.164,257.9,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.994,44.534,20.164,
007,1,16,1:34.542,0,B,21.998,0,45.566,0,26.978,0,164.1,25:49.552,16:14:49.552,0:21.998,0:45.566,0:26.978,264.1,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.998,45.566,26.978,
007,1,17,3:29.094,0,,2:14.419,0,53.223,0,21.452,0,74.2,29:18.646,16:18:18.646,2:14.419,0:53.223,0:21.452,,Harry TINCKNELL,0:01:51.073,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,134.419,53.223,21.452,
007,1,18,1:30.880,0,,23.502,0,47.010,0,20.368,0,170.7,30:49.526,16:19:49.526,0:23.502,0:47.010,0:20.368,231.6,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,23.502,47.010,20.368,
007,1,19,1:28.016,0,,22.680,0,45.027,0,20.309,0,176.2,32:17.542,16:21:17.542,0:22.680,0:45.027,0:20.309,253.1,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.680,45.027,20.309,
007,1,20,1:26.527,0,,22.182,0,44.429,0,19.916,0,179.3,33:44.069,16:22:44.069,0:22.182,0:44.429,0:19.916,254.9,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.182,44.429,19.916,
007,1,21,1:26.183,0,,21.980,0,44.249,0,19.954,0,180.0,35:10.252,16:24:10.252,0:21.980,0:44.249,0:19.954,259.7,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.980,44.249,19.954,
007,1,22,1:27.063,0,,21.876,0,45.239,0,19.948,0,178.2,36:37.315,16:25:37.315,0:21.876,0:45.239,0:19.948,266.0,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.876,45.239,19.948,
007,1,23,1:26.233,0,,21.946,0,44.421,0,19.866,0,179.9,38:03.548,16:27:03.548,0:21.946,0:44.421,0:19.866,268.7,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.946,44.421,19.866,
007,1,24,1:28.349,0,,21.978,0,46.462,0,19.909,0,175.6,39:31.897,16:28:31.897,0:21.978,0:46.462,0:19.909,272.7,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.978,46.462,19.909,
007,1,25,1:28.224,0,,22.281,0,45.453,0,20.490,0,175.8,41:00.121,16:30:00.121,0:22.281,0:45.453,0:20.490,260.3,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.281,45.453,20.490,
007,1,26,1:25.633,0,,21.895,0,43.945,0,19.793,0,181.1,42:25.754,16:31:25.754,0:21.895,0:43.945,0:19.793,270.7,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.895,43.945,19.793,
007,1,27,1:25.768,0,,21.889,0,43.963,0,19.916,0,180.9,43:51.522,16:32:51.522,0:21.889,0:43.963,0:19.916,268.7,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.889,43.963,19.916,
007,1,28,1:26.236,0,,21.959,0,44.277,0,20.000,0,179.9,45:17.758,16:34:17.758,0:21.959,0:44.277,0:20.000,270.0,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.959,44.277,20.000,
007,1,29,1:25.943,0,,21.947,0,44.218,0,19.778,0,180.5,46:43.701,16:35:43.701,0:21.947,0:44.218,0:19.778,266.0,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.947,44.218,19.778,
007,1,30,1:26.217,0,,21.941,0,44.352,0,19.924,0,179.9,48:09.918,16:37:09.918,0:21.941,0:44.352,0:19.924,261.6,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.941,44.352,19.924,
007,1,31,1:33.971,0,B,22.047,0,44.793,0,27.131,0,165.1,49:43.889,16:38:43.889,0:22.047,0:44.793,0:27.131,260.3,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.047,44.793,27.131,
007,2,32,3:52.061,0,,2:47.460,0,44.796,0,19.805,1,66.8,53:35.950,16:42:35.950,2:47.460,0:44.796,0:19.805,,Tom GAMBLE,0:02:31.190,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,167.460,44.796,19.805,
007,2,33,1:26.909,0,,22.139,0,44.826,0,19.944,0,178.5,55:02.859,16:44:02.859,0:22.139,0:44.826,0:19.944,250.2,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.139,44.826,19.944,
007,2,34,1:27.698,0,,22.821,0,44.979,0,19.898,0,176.9,56:30.557,16:45:30.557,0:22.821,0:44.979,0:19.898,244.6,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.821,44.979,19.898,
007,2,35,1:26.813,0,,22.024,0,44.804,0,19.985,0,178.7,57:57.370,16:46:57.370,0:22.024,0:44.804,0:19.985,261.0,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.024,44.804,19.985,
007,2,36,1:26.936,0,,22.080,0,44.934,0,19.922,0,178.4,59:24.306,16:48:24.306,0:22.080,0:44.934,0:19.922,259.7,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.080,44.934,19.922,
007,2,37,1:27.716,0,,21.985,0,45.686,0,20.045,0,176.8,1:00:52.022,16:49:52.022,0:21.985,0:45.686,0:20.045,264.8,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.985,45.686,20.045,
007,2,38,1:26.883,0,,22.185,0,44.669,0,20.029,0,178.5,1:02:18.905,16:51:18.905,0:22.185,0:44.669,0:20.029,261.0,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.185,44.669,20.029,
007,2,39,1:26.879,0,,22.465,0,44.559,0,19.855,0,178.6,1:03:45.784,16:52:45.784,0:22.465,0:44.559,0:19.855,252.5,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.465,44.559,19.855,
007,2,40,1:26.593,0,,22.008,0,44.696,0,19.889,0,179.1,1:05:12.377,16:54:12.377,0:22.008,0:44.696,0:19.889,258.5,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.008,44.696,19.889,
007,2,41,1:27.749,0,,21.976,0,45.692,0,20.081,0,176.8,1:06:40.126,16:55:40.126,0:21.976,0:45.692,0:20.081,257.3,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.976,45.692,20.081,
007,2,42,1:26.725,0,,22.104,0,44.774,0,19.847,0,178.9,1:08:06.851,16:57:06.851,0:22.104,0:44.774,0:19.847,252.5,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.104,44.774,19.847,
007,2,43,1:27.458,0,,22.203,0,45.431,0,19.824,0,177.4,1:09:34.309,16:58:34.309,0:22.203,0:45.431,0:19.824,259.7,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.203,45.431,19.824,
007,2,44,1:26.154,0,,21.874,1,44.430,0,19.850,0,180.1,1:11:00.463,17:00:00.463,0:21.874,0:44.430,0:19.850,264.1,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.874,44.430,19.850,
007,2,45,1:26.366,0,,22.153,0,44.363,1,19.850,0,179.6,1:12:26.829,17:01:26.829,0:22.153,0:44.363,0:19.850,260.3,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.153,44.363,19.850,
007,2,46,1:27.091,0,,22.574,0,44.705,0,19.812,0,178.1,1:13:53.920,17:02:53.920,0:22.574,0:44.705,0:19.812,257.9,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.574,44.705,19.812,
007,2,47,1:27.106,0,,21.896,0,44.991,0,20.219,0,178.1,1:15:21.026,17:04:21.026,0:21.896,0:44.991,0:20.219,265.4,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.896,44.991,20.219,
007,2,48,1:27.633,0,,22.448,0,45.269,0,19.916,0,177.0,1:16:48.659,17:05:48.659,0:22.448,0:45.269,0:19.916,258.5,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.448,45.269,19.916,
007,2,49,1:33.744,0,B,22.277,0,44.866,0,26.601,0,165.5,1:18:22.403,17:07:22.403,0:22.277,0:44.866,0:26.601,250.8,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.277,44.866,26.601,
007,2,50,2:27.020,0,,1:21.303,0,45.656,0,20.061,0,105.5,1:20:49.423,17:09:49.423,1:21.303,0:45.656,0:20.061,,Tom GAMBLE,0:01:05.453,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,81.303,45.656,20.061,
007,2,51,1:27.928,0,,22.374,0,45.458,0,20.096,0,176.4,1:22:17.351,17:11:17.351,0:22.374,0:45.458,0:20.096,253.1,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.374,45.458,20.096,
007,2,52,1:27.198,0,,22.166,0,44.973,0,20.059,0,177.9,1:23:44.549,17:12:44.549,0:22.166,0:44.973,0:20.059,259.7,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.166,44.973,20.059,
007,2,53,1:27.991,0,,22.463,0,45.185,0,20.343,0,176.3,1:25:12.540,17:14:12.540,0:22.463,0:45.185,0:20.343,260.3,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.463,45.185,20.343,
007,2,54,1:28.046,0,,22.177,0,45.826,0,20.043,0,176.2,1:26:40.586,17:15:40.586,0:22.177,0:45.826,0:20.043,254.9,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.177,45.826,20.043,
007,2,55,1:27.752,0,,22.505,0,45.228,0,20.019,0,176.8,1:28:08.338,17:17:08.338,0:22.505,0:45.228,0:20.019,257.3,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.505,45.228,20.019,
007,2,56,1:27.425,0,,22.262,0,45.174,0,19.989,0,177.4,1:29:35.763,17:18:35.763,0:22.262,0:45.174,0:19.989,259.1,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.262,45.174,19.989,
007,2,57,1:27.215,0,,22.271,0,44.867,0,20.077,0,177.9,1:31:02.978,17:20:02.978,0:22.271,0:44.867,0:20.077,262.8,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,FF,22.271,44.867,20.077,
009,1,1,2:15.598,0,,58.233,0,55.475,0,21.890,0,112.4,2:15.598,15:51:15.598,0:58.233,0:55.475,0:21.890,,Alex RIBERAS,0:00:28.775,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,58.233,55.475,21.890,
009,1,2,1:32.381,0,,24.879,0,47.041,0,20.461,0,167.9,3:47.979,15:52:47.979,0:24.879,0:47.041,0:20.461,192.0,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,24.879,47.041,20.461,
009,1,3,1:31.879,0,,23.516,0,46.371,0,21.992,0,168.8,5:19.858,15:54:19.858,0:23.516,0:46.371,0:21.992,221.3,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,23.516,46.371,21.992,
009,1,4,1:24.478,0,,22.020,0,43.067,0,19.391,2,183.6,6:44.336,15:55:44.336,0:22.020,0:43.067,0:19.391,242.9,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.020,43.067,19.391,
009,1,5,1:24.118,2,,21.593,2,42.947,2,19.578,0,184.4,8:08.454,15:57:08.454,0:21.593,0:42.947,0:19.578,268.0,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.593,42.947,19.578,
009,1,6,1:24.520,0,,21.699,0,43.297,0,19.524,0,183.5,9:32.974,15:58:32.974,0:21.699,0:43.297,0:19.524,247.9,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.699,43.297,19.524,
009,1,7,1:33.557,0,B,22.035,0,43.933,0,27.589,0,165.8,11:06.531,16:00:06.531,0:22.035,0:43.933,0:27.589,253.7,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.035,43.933,27.589,
009,2,8,3:09.139,0,,2:00.616,0,47.251,0,21.272,0,82.0,14:15.670,16:03:15.670,2:00.616,0:47.251,0:21.272,,Marco SORENSEN,0:01:43.345,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,120.616,47.251,21.272,
009,2,9,1:25.676,0,,21.915,0,43.646,0,20.115,0,181.1,15:41.346,16:04:41.346,0:21.915,0:43.646,0:20.115,256.1,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.915,43.646,20.115,
009,2,10,1:25.263,0,,21.820,0,43.603,0,19.840,0,181.9,17:06.609,16:06:06.609,0:21.820,0:43.603,0:19.840,259.7,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.820,43.603,19.840,
009,2,11,1:25.108,0,,21.799,0,43.537,1,19.772,1,182.3,18:31.717,16:07:31.717,0:21.799,0:43.537,0:19.772,259.7,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.799,43.537,19.772,
009,2,12,1:25.515,0,,21.698,1,44.037,0,19.780,0,181.4,19:57.232,16:08:57.232,0:21.698,0:44.037,0:19.780,260.3,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.698,44.037,19.780,
009,2,13,1:28.651,0,,22.136,0,46.455,0,20.060,0,175.0,21:25.883,16:10:25.883,0:22.136,0:46.455,0:20.060,285.5,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.136,46.455,20.060,
009,2,14,1:33.931,0,B,22.334,0,44.606,0,26.991,0,165.1,22:59.814,16:11:59.814,0:22.334,0:44.606,0:26.991,238.7,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.334,44.606,26.991,
009,1,15,7:50.641,0,,6:44.449,0,46.210,0,19.982,0,33.0,30:50.455,16:19:50.455,6:44.449,0:46.210,0:19.982,,Alex RIBERAS,0:06:25.745,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,404.449,46.210,19.982,
009,1,16,1:27.713,0,,22.386,0,45.169,0,20.158,0,176.9,32:18.168,16:21:18.168,0:22.386,0:45.169,0:20.158,248.5,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.386,45.169,20.158,
009,1,17,1:27.872,0,,22.267,0,45.572,0,20.033,0,176.5,33:46.040,16:22:46.040,0:22.267,0:45.572,0:20.033,258.5,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.267,45.572,20.033,
009,1,18,1:27.822,0,,22.205,0,45.459,0,20.158,0,176.6,35:13.862,16:24:13.862,0:22.205,0:45.459,0:20.158,260.3,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.205,45.459,20.158,
009,1,19,1:27.063,0,,22.131,0,44.968,0,19.964,0,178.2,36:40.925,16:25:40.925,0:22.131,0:44.968,0:19.964,260.3,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.131,44.968,19.964,
009,1,20,1:26.963,0,,22.361,0,44.666,0,19.936,0,178.4,38:07.888,16:27:07.888,0:22.361,0:44.666,0:19.936,259.7,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.361,44.666,19.936,
009,1,21,1:26.848,0,,22.048,0,44.583,0,20.217,0,178.6,39:34.736,16:28:34.736,0:22.048,0:44.583,0:20.217,257.9,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.048,44.583,20.217,
009,1,22,1:28.486,0,,22.430,0,45.906,0,20.150,0,175.3,41:03.222,16:30:03.222,0:22.430,0:45.906,0:20.150,239.7,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.430,45.906,20.150,
009,1,23,1:28.337,0,,22.775,0,45.425,0,20.137,0,175.6,42:31.559,16:31:31.559,0:22.775,0:45.425,0:20.137,254.3,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.775,45.425,20.137,
009,1,24,1:26.956,0,,22.218,0,44.750,0,19.988,0,178.4,43:58.515,16:32:58.515,0:22.218,0:44.750,0:19.988,258.5,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.218,44.750,19.988,
009,1,25,1:27.079,0,,22.209,0,44.965,0,19.905,0,178.1,45:25.594,16:34:25.594,0:22.209,0:44.965,0:19.905,256.7,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.209,44.965,19.905,
009,1,26,1:27.744,0,,22.084,0,45.460,0,20.200,0,176.8,46:53.338,16:35:53.338,0:22.084,0:45.460,0:20.200,262.2,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.084,45.460,20.200,
009,1,27,1:26.647,0,,22.150,0,44.594,0,19.903,0,179.0,48:19.985,16:37:19.985,0:22.150,0:44.594,0:19.903,259.7,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.150,44.594,19.903,
009,1,28,1:27.025,0,,22.108,0,44.991,0,19.926,0,178.3,49:47.010,16:38:47.010,0:22.108,0:44.991,0:19.926,259.1,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.108,44.991,19.926,
009,1,29,1:34.156,0,B,22.458,0,45.500,0,26.198,0,164.8,51:21.166,16:40:21.166,0:22.458,0:45.500,0:26.198,251.3,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.458,45.500,26.198,
009,2,30,2:57.545,0,,1:51.796,0,45.550,0,20.199,0,87.4,54:18.711,16:43:18.711,1:51.796,0:45.550,0:20.199,,Marco SORENSEN,0:01:35.104,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,111.796,45.550,20.199,
009,2,31,1:30.875,0,,22.442,0,48.201,0,20.232,0,170.7,55:49.586,16:44:49.586,0:22.442,0:48.201,0:20.232,254.9,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.442,48.201,20.232,
009,2,32,1:28.635,0,,22.549,0,45.867,0,20.219,0,175.0,57:18.221,16:46:18.221,0:22.549,0:45.867,0:20.219,256.7,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.549,45.867,20.219,
009,2,33,1:27.283,0,,22.307,0,44.732,0,20.244,0,177.7,58:45.504,16:47:45.504,0:22.307,0:44.732,0:20.244,258.5,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.307,44.732,20.244,
009,2,34,1:27.969,0,,22.345,0,45.253,0,20.371,0,176.3,1:00:13.473,16:49:13.473,0:22.345,0:45.253,0:20.371,253.1,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.345,45.253,20.371,
009,2,35,1:28.000,0,,22.248,0,45.632,0,20.120,0,176.3,1:01:41.473,16:50:41.473,0:22.248,0:45.632,0:20.120,261.0,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.248,45.632,20.120,
009,2,36,1:28.288,0,,22.278,0,45.640,0,20.370,0,175.7,1:03:09.761,16:52:09.761,0:22.278,0:45.640,0:20.370,258.5,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.278,45.640,20.370,
009,2,37,1:27.314,0,,22.277,0,44.813,0,20.224,0,177.7,1:04:37.075,16:53:37.075,0:22.277,0:44.813,0:20.224,259.1,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.277,44.813,20.224,
009,2,38,1:27.339,0,,22.189,0,44.995,0,20.155,0,177.6,1:06:04.414,16:55:04.414,0:22.189,0:44.995,0:20.155,257.3,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.189,44.995,20.155,
009,2,39,1:27.513,0,,22.282,0,44.998,0,20.233,0,177.3,1:07:31.927,16:56:31.927,0:22.282,0:44.998,0:20.233,262.8,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.282,44.998,20.233,
009,2,40,1:27.073,0,,22.259,0,44.741,0,20.073,0,178.2,1:08:59.000,16:57:59.000,0:22.259,0:44.741,0:20.073,259.1,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.259,44.741,20.073,
009,2,41,1:27.631,0,,22.280,0,45.343,0,20.008,0,177.0,1:10:26.631,16:59:26.631,0:22.280,0:45.343,0:20.008,257.3,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.280,45.343,20.008,
009,2,42,1:27.661,0,,22.315,0,45.178,0,20.168,0,177.0,1:11:54.292,17:00:54.292,0:22.315,0:45.178,0:20.168,261.6,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.315,45.178,20.168,
009,2,43,1:27.565,0,,22.340,0,44.975,0,20.250,0,177.2,1:13:21.857,17:02:21.857,0:22.340,0:44.975,0:20.250,259.7,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.340,44.975,20.250,
009,2,44,1:34.787,0,B,22.415,0,45.076,0,27.296,0,163.7,1:14:56.644,17:03:56.644,0:22.415,0:45.076,0:27.296,258.5,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.415,45.076,27.296,
009,1,45,2:27.161,0,,1:20.681,0,46.344,0,20.136,0,105.4,1:17:23.805,17:06:23.805,1:20.681,0:46.344,0:20.136,,Alex RIBERAS,0:01:02.704,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,80.681,46.344,20.136,
009,1,46,1:28.703,0,,23.152,0,45.472,0,20.079,0,174.9,1:18:52.508,17:07:52.508,0:23.152,0:45.472,0:20.079,216.0,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,23.152,45.472,20.079,
009,1,47,1:28.996,0,,22.580,0,46.030,0,20.386,0,174.3,1:20:21.504,17:09:21.504,0:22.580,0:46.030,0:20.386,261.0,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.580,46.030,20.386,
009,1,48,1:29.025,0,,22.939,0,45.943,0,20.143,0,174.2,1:21:50.529,17:10:50.529,0:22.939,0:45.943,0:20.143,253.7,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.939,45.943,20.143,
009,1,49,1:28.443,0,,22.518,0,45.699,0,20.226,0,175.4,1:23:18.972,17:12:18.972,0:22.518,0:45.699,0:20.226,257.9,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,22.518,45.699,20.226,
