NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
1,1,1,1:58.637,0,,39.735,0,36.216,0,42.686,0,133.0,1:58.637,15:10:11.306,0:39.735,0:36.216,0:42.686,,Jean-Baptiste MELA,,,,AUTOSPORT GP,,GF,
1,1,2,1:52.936,2,,35.246,3,35.269,0,42.421,0,148.3,3:51.573,15:12:04.242,0:35.246,0:35.269,0:42.421,244.3,Jean-Baptiste MELA,,,,AUTOSPORT GP,,GF,
1,1,3,1:53.167,0,,35.502,0,35.174,0,42.491,0,148.0,5:44.740,15:13:57.409,0:35.502,0:35.174,0:42.491,244.9,Jean-Baptiste MELA,,,,AUTOSPORT GP,,GF,
1,1,4,1:52.997,0,,35.425,0,35.246,0,42.326,0,148.2,7:37.737,15:15:50.406,0:35.425,0:35.246,0:42.326,245.5,Jean-Baptiste MELA,,,,AUTOSPORT GP,,GF,
1,1,5,1:59.051,0,,41.898,0,34.948,3,42.205,3,140.7,9:36.788,15:17:49.457,0:41.898,0:34.948,0:42.205,246.6,Jean-Baptiste MELA,,,,AUTOSPORT GP,,GF,
1,1,6,1:53.080,0,,35.533,0,34.982,0,42.565,0,148.1,11:29.868,15:19:42.537,0:35.533,0:34.982,0:42.565,247.1,Jean-Baptiste MELA,,,,AUTOSPORT GP,,GF,
1,1,7,1:53.239,0,,35.373,0,35.192,0,42.674,0,147.9,13:23.107,15:21:35.776,0:35.373,0:35.192,0:42.674,245.5,Jean-Baptiste MELA,,,,AUTOSPORT GP,,GF,
1,1,8,1:56.734,0,,35.476,0,35.122,0,46.136,0,143.5,15:19.841,15:23:32.510,0:35.476,0:35.122,0:46.136,246.6,Jean-Baptiste MELA,,,,AUTOSPORT GP,,SF,
1,1,9,2:54.512,0,,48.886,0,55.994,0,1:09.632,0,96.0,18:14.353,15:26:27.022,0:48.886,0:55.994,1:09.632,179.7,Jean-Baptiste MELA,,,,AUTOSPORT GP,,SF,
1,1,10,3:12.406,0,,58.726,0,1:02.604,0,1:11.076,0,87.1,21:26.759,15:29:39.428,0:58.726,1:02.604,1:11.076,103.8,Jean-Baptiste MELA,,,,AUTOSPORT GP,,SF,
11,1,1,1:59.980,0,,40.094,0,36.095,0,43.791,0,131.5,1:59.980,15:10:12.649,0:40.094,0:36.095,0:43.791,,Corentin TIERCE,,J,,HERRERO RACING,,GF,
11,1,2,1:53.701,0,,35.456,0,35.502,0,42.743,0,147.3,3:53.681,15:12:06.350,0:35.456,0:35.502,0:42.743,246.0,Corentin TIERCE,,J,,HERRERO RACING,,GF,
11,1,3,1:53.532,0,,35.366,0,35.416,0,42.750,0,147.5,5:47.213,15:13:59.882,0:35.366,0:35.416,0:42.750,243.8,Corentin TIERCE,,J,,HERRERO RACING,,GF,
11,1,4,1:53.350,2,,35.320,2,35.358,0,42.672,2,147.8,7:40.563,15:15:53.232,0:35.320,0:35.358,0:42.672,242.7,Corentin TIERCE,,J,,HERRERO RACING,,GF,
11,1,5,1:54.963,0,,35.813,0,36.347,0,42.803,0,145.7,9:35.526,15:17:48.195,0:35.813,0:36.347,0:42.803,242.7,Corentin TIERCE,,J,,HERRERO RACING,,GF,
11,1,6,1:53.887,0,,35.682,0,35.522,0,42.683,0,147.1,11:29.413,15:19:42.082,0:35.682,0:35.522,0:42.683,245.5,Corentin TIERCE,,J,,HERRERO RACING,,GF,
11,1,7,1:53.480,0,,35.426,0,35.255,2,42.799,0,147.6,13:22.893,15:21:35.562,0:35.426,0:35.255,0:42.799,243.8,Corentin TIERCE,,J,,HERRERO RACING,,GF,
11,1,8,1:57.689,0,,36.118,0,35.415,0,46.156,0,142.3,15:20.582,15:23:33.251,0:36.118,0:35.415,0:46.156,242.2,Corentin TIERCE,,J,,HERRERO RACING,,SF,
11,1,9,2:54.145,0,,48.682,0,55.816,0,1:09.647,0,96.2,18:14.727,15:26:27.396,0:48.682,0:55.816,1:09.647,184.0,Corentin TIERCE,,J,,HERRERO RACING,,SF,
11,1,10,3:12.562,0,,59.033,0,1:02.327,0,1:11.202,0,87.0,21:27.289,15:29:39.958,0:59.033,1:02.327,1:11.202,97.7,Corentin TIERCE,,J,,HERRERO RACING,,SF,
110,1,1,2:02.357,0,,42.390,0,36.539,0,43.428,0,129.0,2:02.357,15:10:15.026,0:42.390,0:36.539,0:43.428,,Philippe QUETAUD,,G,VIP,CHAZEL TECHNOLOGIE COURSE,,GF,
110,1,2,1:56.180,0,,36.230,0,36.485,0,43.465,0,144.2,3:58.537,15:12:11.206,0:36.230,0:36.485,0:43.465,241.6,Philippe QUETAUD,,G,VIP,CHAZEL TECHNOLOGIE COURSE,,GF,
110,1,3,1:55.130,0,,35.939,0,35.834,0,43.357,0,145.5,5:53.667,15:14:06.336,0:35.939,0:35.834,0:43.357,243.2,Philippe QUETAUD,,G,VIP,CHAZEL TECHNOLOGIE COURSE,,GF,
110,1,4,1:56.021,0,,36.708,0,35.963,0,43.350,0,144.4,7:49.688,15:16:02.357,0:36.708,0:35.963,0:43.350,242.2,Philippe QUETAUD,,G,VIP,CHAZEL TECHNOLOGIE COURSE,,GF,
110,1,5,1:54.909,2,,35.854,2,35.865,0,43.190,2,145.8,9:44.597,15:17:57.266,0:35.854,0:35.865,0:43.190,244.9,Philippe QUETAUD,,G,VIP,CHAZEL TECHNOLOGIE COURSE,,GF,
110,1,6,1:55.192,0,,35.934,0,35.748,2,43.510,0,145.4,11:39.789,15:19:52.458,0:35.934,0:35.748,0:43.510,242.7,Philippe QUETAUD,,G,VIP,CHAZEL TECHNOLOGIE COURSE,,GF,
110,1,7,1:54.957,0,,35.931,0,35.832,0,43.194,0,145.7,13:34.746,15:21:47.415,0:35.931,0:35.832,0:43.194,244.9,Philippe QUETAUD,,G,VIP,CHAZEL TECHNOLOGIE COURSE,,GF,
110,1,8,1:59.883,0,,35.952,0,36.299,0,47.632,0,139.7,15:34.629,15:23:47.298,0:35.952,0:36.299,0:47.632,244.3,Philippe QUETAUD,,G,VIP,CHAZEL TECHNOLOGIE COURSE,,SF,
110,1,9,2:42.880,0,,40.441,0,54.359,0,1:08.080,0,102.8,18:17.509,15:26:30.178,0:40.441,0:54.359,1:08.080,220.4,Philippe QUETAUD,,G,VIP,CHAZEL TECHNOLOGIE COURSE,,SF,
110,1,10,3:13.512,0,,59.782,0,1:02.966,0,1:10.764,0,86.6,21:31.021,15:29:43.690,0:59.782,1:02.966,1:10.764,121.9,Philippe QUETAUD,,G,VIP,CHAZEL TECHNOLOGIE COURSE,,SF,
14,1,1,2:04.419,0,,43.152,0,37.432,0,43.835,0,126.9,2:04.419,15:10:17.088,0:43.152,0:37.432,0:43.835,,Jean-Paul DOMINICI,,G,,CHAZEL TECHNOLOGIE COURSE,,GF,
14,1,2,1:56.003,0,,36.376,0,35.950,0,43.677,0,144.4,4:00.422,15:12:13.091,0:36.376,0:35.950,0:43.677,237.9,Jean-Paul DOMINICI,,G,,CHAZEL TECHNOLOGIE COURSE,,GF,
14,1,3,1:55.698,0,,36.403,0,35.905,0,43.390,0,144.8,5:56.120,15:14:08.789,0:36.403,0:35.905,0:43.390,239.5,Jean-Paul DOMINICI,,G,,CHAZEL TECHNOLOGIE COURSE,,GF,
