POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,5,28,3:24.717,-,-,239.6,33,Porsche Penske Motorsport,HYPERCAR,H,,Porsche 963,M,93960,6283,4167,6176,4368,5,,,PORSCHE PENSKE,,Julien,ANDLAUER,G,,FRA,,9192,70,,01:00:00,None,Michael,CHRISTENSEN,P,,DEN,,532,57,,01:00:00,None,Mathieu,JAMINET,P,,FRA,,9415,70,,01:00:00,None,,,,,,,,,,,,,,,,,,,
2,38,40,3:25.533,+0.816,+0.816,238.7,41,Cadillac Hertz Team JOTA,HYPERCAR,H,,Cadillac V-Series.R,M,93976,6429,4167,6203,4097,66,,,CADILLAC HTJ,,Earl,BAMBER,P,,NZL,,1290,168,,01:00:00,None,Sébastien,BOURDAIS,P,,FRA,,98,70,,01:00:00,None,Jenson,BUTTON,P,,GBR,,9180,188,,01:00:00,None,,,,,,,,,,,,,,,,,,,
3,12,38,3:25.609,+0.892,+0.076,238.6,40,Cadillac Hertz Team JOTA,HYPERCAR,H,,Cadillac V-Series.R,M,93967,6429,4167,6203,4097,66,,,CADILLAC HTJ,,Will,STEVENS,P,,GBR,,11044,188,,01:00:00,None,Norman,NATO,G,,FRA,,9032,70,,01:00:00,None,Alex,LYNN,P,,GBR,,11043,188,,01:00:00,None,,,,,,,,,,,,,,,,,,,
4,51,2,3:25.705,+0.988,+0.096,238.5,44,Ferrari AF Corse,HYPERCAR,H,,Ferrari 499P,M,93979,6293,4167,6192,3,119,,,FERRARI AF,,Alessandro,PIER GUIDI,P,,ITA,,340,119,,01:00:00,None,James,CALADO,P,,GBR,,300,188,,01:00:00,None,Antonio,GIOVINAZZI,P,,ITA,,1976,119,,01:00:00,None,,,,,,,,,,,,,,,,,,,
5,83,2,3:26.322,+1.605,+0.617,237.8,29,AF Corse,HYPERCAR,H,,Ferrari 499P,M,93987,16,4167,6192,3,119,,HWC,AF CORSE,HWC,Robert,KUBICA,P,,POL,,8438,181,,01:00:00,None,Yifei,YE,G,,CHN,,10068,43,,01:00:00,None,Philip,HANSON,G,,GBR,,1946,188,,01:00:00,None,,,,,,,,,,,,,,,,,,,
6,20,19,3:26.367,+1.650,+0.045,237.7,32,BMW M Team WRT,HYPERCAR,H,,BMW M Hybrid V8,M,93969,6359,4167,6276,4447,5,,,BMW M TEAM WRT,,René,RAST,P,,GER,,307,5,,01:00:00,None,Robin,FRIJNS,P,,NED,,9871,178,,01:00:00,None,Sheldon,VAN DER LINDE,P,,RSA,,11274,2,,01:00:00,None,,,,,,,,,,,,,,,,,,,
7,4,33,3:26.855,+2.138,+0.488,237.1,34,Porsche Penske Motorsport,HYPERCAR,H,,Porsche 963,M,93996,6283,4167,6176,4368,5,,,PORSCHE PENSKE,,Felipe,NASR,P,,BRA,,9287,32,,01:00:00,None,Nick,TANDY,P,,GBR,,1206,188,,01:00:00,None,Pascal,WEHRLEIN,P,,GER,,12072,5,,01:00:00,None,,,,,,,,,,,,,,,,,,,
8,311,27,3:26.914,+2.197,+0.059,237.1,39,Cadillac Whelen,HYPERCAR,H,,Cadillac V-Series.R,M,94020,6445,4167,6203,4097,66,,,CADILLAC WHELEN,,Jack,AITKEN,P,,GBR,,10508,188,,01:00:00,None,Felipe,DRUGOVICH,P,,BRA,,11470,32,,01:00:00,None,Frederik,VESTI,P,,DEN,,11447,57,,01:00:00,None,,,,,,,,,,,,,,,,,,,
9,50,32,3:26.948,+2.231,+0.034,237.0,34,Ferrari AF Corse,HYPERCAR,H,,Ferrari 499P,M,93978,6293,4167,6192,3,119,,,FERRARI AF,,Antonio,FUOCO,P,,ITA,,10091,119,,01:00:00,None,Nicklas,NIELSEN,P,,DEN,,9432,57,,01:00:00,None,Miguel,MOLINA,P,,ESP,,8526,64,,01:00:00,None,,,,,,,,,,,,,,,,,,,
10,15,36,3:27.080,+2.363,+0.132,236.9,37,BMW M Team WRT,HYPERCAR,H,,BMW M Hybrid V8,M,93968,6359,4167,6276,4447,5,,,BMW M TEAM WRT,,Dries,VANTHOOR,P,,BEL,,8292,23,,01:00:00,None,Raffaele,MARCIELLO,P,,SUI,,10402,219,,01:00:00,None,Kevin,MAGNUSSEN,P,,DEN,,10211,57,,01:00:00,None,,,,,,,,,,,,,,,,,,,
