POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,34,6,1:41.642,-,-,173.9,6,Racing Team Turkey by TF,LMGT3,,,Corvette Z06 LMGT3.R,G,106283,7261,,6244,4230,,,,RTT BY TF,,Peter,Dempsey,B,,IRL,,43215,,,,,Salih,Yoluc,S,,TUR,,1346,,,,,Charles,Eastwood,G,,IRL,,9016,,,,,,,,,,,,,,,,,,,,,,,
2,69,6,1:42.315,+0.673,+0.673,172.7,7,Team WRT,LMGT3,,,BMW M4 LMGT3 Evo,G,106292,5518,,6290,4354,,,,TEAM WRT,,Anthony,McIntosh,B,,USA,,11538,,,,,Parker,Thompson,S,,CAN,,11770,,,,,Daniel,Harper,P,,GBR,,43294,,,,,,,,,,,,,,,,,,,,,,,
3,32,7,1:42.428,+0.786,+0.113,172.5,7,Team WRT,LMGT3,,,BMW M4 LMGT3 Evo,G,106281,5518,,6290,4354,,,,TEAM WRT,,Darren,Leung,B,,GBR,,11277,,,,,Sean,Galael,S,,INA,,1968,,,,,Augusto,Farfus,P,,BRA,,9022,,,,,,,,,,,,,,,,,,,,,,,
4,61,5,1:42.810,+1.168,+0.382,171.9,7,Iron Lynx,LMGT3,,,Mercedes-AMG LMGT3,G,106291,5979,,6272,4314,,,,IRON LYNX,,Martin,Berry,B,,AUS,,10878,,,,,Rui,Andrade,S,,ANG,,9873,,,,,Maxime,Martin,P,,BEL,,157,,,,,,,,,,,,,,,,,,,,,,,
5,78,4,1:42.815,+1.173,+0.005,171.9,6,Akkodis ASP Team,LMGT3,,,Lexus RC F LMGT3,G,106294,6361,,6248,4443,,,,AKKODIS ASP,,Thomas,van Rompuy,B,,BEL,VRO,10426,,,,,Hadrien,David,S,,FRA,,11284,,,,,Esteban,Masson,G,,FRA,,11272,,,,,,,,,,,,,,,,,,,,,,,
6,88,6,1:42.912,+1.270,+0.097,171.7,6,Proton Competition,LMGT3,,,Ford Mustang LMGT3,G,106298,45,,6246,268,,,,PROTON,,Stefano,Gattuso,B,,ITA,,11678,,,,,Giammarco,Levorato,S,,ITA,,11147,,,,,Logan,Sargeant,P,,USA,,10110,,,,,,,,,,,,,,,,,,,,,,,
7,21,4,1:42.940,+1.298,+0.028,171.7,6,Vista AF Corse,LMGT3,,,Ferrari 296 LMGT3 Evo,G,106278,6367,,6289,3,,,,VISTA AF CORSE,,Francois,Heriau,B,,FRA,,1630,,,,,Simon,Mann,S,,GBR,,10161,,,,,Alessio,Rovera,P,,ITA,,9837,,,,,,,,,,,,,,,,,,,,,,,
8,87,6,1:43.009,+1.367,+0.069,171.6,6,Akkodis ASP Team,LMGT3,,,Lexus RC F LMGT3,G,106297,6361,,6248,4443,,,,AKKODIS ASP,,Petru,Umbrarescu,B,,ROU,,11848,,,,,Clemens,Schmid,S,,AUT,,11594,,,,,Jose,Maria Lopez,P,,ARG,,8418,,,,,,,,,,,,,,,,,,,,,,,
9,10,7,1:43.038,+1.396,+0.029,171.5,7,Garage 59,LMGT3,,,McLaren 720S LMGT3 Evo,G,106272,5770,,6249,60,,,,GARAGE 59,,Antares,AU,B,,HKG,AU,10412,,,,,Thomas,Fleming,S,,GBR,,11651,,,,,Marvin,Kirchhofer,P,,GER,,10411,,,,,,,,,,,,,,,,,,,,,,,
10,91,4,1:43.081,+1.439,+0.043,171.4,7,Manthey DK Engineering,LMGT3,,,Porsche 911 GT3 R LMGT3,G,106299,7240,,6250,4368,,,,MANTHEY DK ENG,,James,Cottingham,B,,GBR,,8246,,,,,Timur,Boguslavskiy,S,,,,8872,,,,,Ayhancan,Guven,P,,TUR,,10900,,,,,,,,,,,,,,,,,,,,,,,
