POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,26,4,1:37.469,-,-,214.0,4,G-Drive Racing,LMP2,,,Aurus 01 - Gibson,G,53264,524,3,5957,4394,254,,,,,Roman,RUSINOV,G,,RUS,,107,254,,,Min 00:40:00-Max 01:40:00,Franco,COLAPINTO,S,,ARG,,10066,13,,,Min 02:15:00-Max 03:15:00,Mikkel,JENSEN,,,DNK,,8276,57,,,,,,,,,,,,,,,,,,,,,,
2,22,6,1:37.893,+0.424,+0.424,213.0,6,United Autosports,LMP2,,,Oreca 07 - Gibson,G,53261,532,3,5626,256,188,,,,,Phil,HANSON,G,,GBR,,8272,188,,,Min 00:40:00-Max 01:40:00,Jonathan,ABERDEIN,G,,ZAF,,9879,2,,,Min 00:40:00-Max 01:40:00,Tom,GAMBLE,S,,GBR,,9549,188,,,Min 01:10:00-Max 02:30:00,,,,,,,,,,,,,,,,,,,
3,41,5,1:38.031,+0.562,+0.138,212.7,6,Team WRT,LMP2,,,Oreca 07 - Gibson,G,53273,5518,3,5626,256,23,,,,,Robert,KUBICA,P,,POL,,8438,181,,,Min 00:40:00-Max 01:40:00,Louis,DELETRAZ,G,,CHE,,9621,219,,,Min 00:40:00-Max 01:40:00,Yifei,YE,S,,CHN,,10068,43,,,Min 01:10:00-Max 02:30:00,,,,,,,,,,,,,,,,,,,
4,21,6,1:38.058,+0.589,+0.027,212.7,6,DragonSpeed USA,LMP2,P/A,,Oreca 07 - Gibson,G,53260,6029,3,5626,256,66,,,,,Henrik,HEDMAN,B,,SWE,,1728,221,,,Min 01:10:00-Max 02:30:00,Ben,HANLEY,G,,GBR,,1972,188,,,Min 00:40:00-Max 01:40:00,Juan Pablo,MONTOYA,P,,COL,,9177,46,,,Min 00:40:00-Max 01:40:00,,,,,,,,,,,,,,,,,,,
5,34,5,1:38.060,+0.591,+0.002,212.7,6,Racing Team Turkey,LMP2,P/A,,Oreca 07 - Gibson,G,53269,6058,3,5626,256,240,,,,,Salih,YOLUC,B,,TUR,,1346,240,,,Min 01:10:00-Max 02:30:00,Charlie,EASTWOOD,G,,IRL,,9016,116,,,Min 00:40:00-Max 01:40:00,Logan,SARGEANT,G,,USA,,10110,66,,,Min 00:40:00-Max 01:40:00,,,,,,,,,,,,,,,,,,,
6,24,4,1:38.112,+0.643,+0.052,212.6,6,Algarve Pro Racing,LMP2,,,Oreca 07 - Gibson,G,53262,92,3,5626,256,184,,,,,Diego,MENCHACA,S,,MEX,,9882,151,,,Min 01:10:00-Max 02:30:00,Ferdinand,HABSBURG,G,,AUT,,10000,17,,,Min 00:40:00-Max 01:40:00,Richard,BRADLEY,G,,GBR,,272,188,,,Min 00:40:00-Max 01:40:00,,,,,,,,,,,,,,,,,,,
7,92,6,1:38.172,+0.703,+0.060,212.4,6,Racing Team Nederland,LMP2,P/A,,Oreca 07 - Gibson,G,53287,5528,3,5626,256,178,,,,,Frits,VAN EERD,B,,NLD,,8338,178,,,Min 02:15:00-Max 03:15:00,Giedo,VAN DER GARDE,P,,NLD,,1792,178,,,Min 00:40:00-Max 01:40:00,,,,,,,,,,,,,,,,,,,,,,,,,
8,65,2,1:38.253,+0.784,+0.081,212.3,6,Panis Racing,LMP2,,,Oreca 07 - Gibson,G,53276,5990,3,5626,256,70,,,,,Julien,CANAL,S,,FRA,,73,70,,,Min 01:10:00-Max 02:30:00,William,STEVENS,P,,GBR,,1882,188,,,Min 00:40:00-Max 01:40:00,James,ALLEN,G,,AUS,,8384,16,,,Min 00:40:00-Max 01:40:00,,,,,,,,,,,,,,,,,,,
9,30,5,1:38.331,+0.862,+0.078,212.1,5,Duqueine Team,LMP2,,,Oreca 07 - Gibson,G,53267,5981,3,5626,256,70,,,,,Tristan,GOMMENDY,P,,FRA,,233,70,,,Min 00:40:00-Max 01:40:00,Rene,BINDER,S,,AUT,,9190,17,,,Min 01:10:00-Max 02:30:00,Memo,ROJAS,G,,MEX,,1912,151,,,Min 00:40:00-Max 01:40:00,,,,,,,,,,,,,,,,,,,
10,37,6,1:38.364,+0.895,+0.033,212.0,6,COOL Racing,LMP2,P/A,,Oreca 07 - Gibson,G,53271,5790,3,5626,256,219,,,,,Alexandre,COIGNY,B,,CHE,,8440,219,,,Min 01:10:00-Max 02:30:00,Nicolas,LAPIERRE,P,,FRA,,96,70,,,Min 00:40:00-Max 01:40:00,Antonin,BORGA,G,,CHE,,8216,219,,,Min 00:40:00-Max 01:40:00,,,,,,,,,,,,,,,,,,,
11,82,5,1:38.378,+0.909,+0.014,212.0,5,JOTA,LMP2,,,Oreca 07 - Gibson,G,53285,27,3,5626,256,188,,,,,Jazeman,JAAFAR,G,,MYS,,9056,142,,,Min 00:40:00-Max 01:40:00,Sean,GELAEL,S,,IDN,,1968,113,,,Min 02:15:00-Max 03:15:00,,,,,,,,,,,,,,,,,,,,,,,,,
