POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,15,8,1:48.519,-,-,154.4,8,RLR M Sport,LMP3,,,Ligier JS P320 - Nissan,M,77062,530,6,5981,258,188,,,RLR M SPORT,,Horst,FELBERMAYR,B,,AUT,,620,17,,01:45:00,None,Gael,JULIEN,S,,FRA,,10970,70,,None,None,Mateusz,KAPRZYK,S,,POL,,10102,181,,None,None,,,,,,,,,,,,,,,,,,,
2,17,8,1:48.985,+0.466,+0.466,153.7,8,COOL Racing,LMP3,,,Ligier JS P320 - Nissan,M,77064,5790,6,5981,258,219,,,COOL RACING,,Adrien,CHILA,B,,FRA,,8454,70,,01:45:00,None,Marcos,SIEBERT,S,,ARG,,10420,13,,None,None,Alejandro,GARCIA,S,,MEX,,10860,151,,None,None,,,,,,,,,,,,,,,,,,,
3,11,8,1:48.992,+0.473,+0.007,153.7,8,Eurointernational,LMP3,,,Ligier JS P320 - Nissan,M,77059,512,6,5981,258,119,,,EUROINTER,,Matthew Richard,BELL,B,,GBR,,10892,188,,01:45:00,None,Adam,ALI,S,,CAN,,10857,40,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,
4,35,8,1:49.294,+0.775,+0.302,153.3,8,Ultimate,LMP3,,,Ligier JS P320 - Nissan,M,77075,390,6,5981,258,70,,,ULTIMATE,,Eric,TROUILLET,B,,FRA,,1542,70,,01:45:00,None,Matthieu,LAHAYE,S,,FRA,,37,70,,None,None,Jean-Baptiste,LAHAYE,S,,FRA,,1628,70,,None,None,,,,,,,,,,,,,,,,,,,
5,31,8,1:49.421,+0.902,+0.127,153.1,8,Racing Spirit of Leman,LMP3,,,Ligier JS P320 - Nissan,M,77073,6194,6,5981,258,219,,,RSL,,Jacques,WOLFF,B,,FRA,,8848,70,,00:50:00,None,Jean-Ludovic,FOUBERT,B,,FRA,,9122,70,,00:50:00,None,Antoine,DOQUIN,S,,FRA,,9884,70,,None,None,,,,,,,,,,,,,,,,,,,
6,13,5,1:51.161,+2.642,+1.740,150.7,8,Inter Europol Competition,LMP3,,,Ligier JS P320 - Nissan,M,77061,402,6,5981,258,181,,,INTER EUROPOL,,Miguel,CRISTÓVÃO,B,,PRT,,9850,184,,01:45:00,None,Kai,ASKEY,S,,GBR,,10822,188,,None,None,Wyatt,BRICHACEK,S,,USA,,10856,66,,None,None,,,,,,,,,,,,,,,,,,,
7,12,6,1:52.268,+3.749,+1.107,149.2,8,WTM by Rinaldi Racing,LMP3,,,Duqueine M30 - D08 - Nissan,M,77060,6287,6,5979,4408,5,,,WTM BY RINALDI,,Torsten,KRATZ,B,,DEU,,10077,5,,01:45:00,None,Leonard,WEISS,S,,DEU,,9872,5,,None,None,Oscar,TUNJO,S,,COL,,10655,46,,None,None,,,,,,,,,,,,,,,,,,,
8,7,5,1:52.389,+3.870,+0.121,149.0,8,Nielsen Racing,LMP3,,,Ligier JS P320 - Nissan,M,77056,5670,6,5981,258,188,,,NIELSEN RACING,,Anthony,WELLS,B,,GBR,,582,188,,01:45:00,None,Ryan,HARPER-ELLAM,S,,GBR,,9748,188,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,2,1:52.430,+3.911,+0.041,149.0,8,Team Virage,LMP3,,,Ligier JS P320 - Nissan,M,77057,5892,6,5981,258,181,,,VIRAGE,,Michael,JENSEN,B,,ZAF,,9543,2,,00:50:00,None,Nick,ADCOCK,B,,ZAF,,9534,2,,00:50:00,None,Manuel,ESPIRITO SANTO,S,,PRT,,10888,184,,None,None,,,,,,,,,,,,,,,,,,,
10,4,3,1:52.757,+4.238,+0.327,148.6,8,DKR Engineering,LMP3,,,Duqueine M30 - D08 - Nissan,M,77054,49,6,5979,4408,138,,,DKR ENGINEERING,,Alexander,BUKHANTSOV,B,,ARE,,10453,61,,01:45:00,None,James,WINSLOW,S,,GBR,,320,188,,None,None,Pedro,PERINO,S,,PRT,,10862,184,,None,None,,,,,,,,,,,,,,,,,,,
