POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,94,4,2:00.653,-,-,209.0,5,Peugeot Totalenergies,HYPERCAR,,,Peugeot 9X8,M,106996,6151,,6112,4014,,,,PEUGEOT TE,,Loic,Duval,P,,FRA,,14,,,00:45:00,None,Malthe,Jakobsen,G,,DEN,,9610,,,00:45:00,None,Theo,Pourchaire,P,,FRA,,11672,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
2,12,5,2:00.696,+0.043,+0.043,208.9,6,Cadillac Hertz Team Jota,HYPERCAR,,,Cadillac V-Series.R,M,106967,6429,,6203,4097,,,,CADILLAC HTJ,,William,Stevens,P,,GBR,,1882,,,00:45:00,None,Norman,Nato,G,,FRA,,9032,,,00:45:00,None,Louis,Deletraz,G,,SUI,,9621,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
3,35,3,2:00.731,+0.078,+0.035,208.8,6,Alpine Endurance Team,HYPERCAR,,,Alpine A424,M,106978,6360,,6237,21,,,,ALPINE,,Antonio,Felix da Costa,P,,POR,FDC,9024,,,00:45:00,None,Charles,Milesi,G,,FRA,,9594,,,00:45:00,None,Ferdinand,Habsburg,G,,AUT,,10000,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
4,36,5,2:00.838,+0.185,+0.107,208.7,6,Alpine Endurance Team,HYPERCAR,,,Alpine A424,M,106979,6360,,6237,21,,,,ALPINE,,Frederic,Makowiecki,P,,FRA,,61,,,00:45:00,None,Jules,Gounon,P,,FRA,,9500,,,00:45:00,None,Victor,Martins,G,,FRA,,11671,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
5,38,5,2:00.940,+0.287,+0.102,208.5,6,Cadillac Hertz Team Jota,HYPERCAR,,,Cadillac V-Series.R,M,106980,6429,,6203,4097,,,,CADILLAC HTJ,,Earl,Bamber,P,,NZL,,1290,,,00:45:00,None,Sebastien,Bourdais,P,,FRA,,98,,,00:45:00,None,Jack,Aitken,P,,GBR,,10508,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
6,009,6,2:01.013,+0.360,+0.073,208.4,6,Aston Martin Thor Team,HYPERCAR,,,Aston Martin Valkyrie,M,106965,6427,,6273,260,,,,ASTON MARTIN,,Alexander,Riberas,G,,ESP,,10376,,,00:45:00,None,Marco,Sorensen,P,,DEN,,7812,,,00:45:00,None,,,,,,,,,,,,,,,,,,,,,,,,,
7,007,6,2:01.052,+0.399,+0.039,208.3,6,Aston Martin Thor Team,HYPERCAR,,,Aston Martin Valkyrie,M,106962,6427,,6273,260,,,,ASTON MARTIN,,Harry,Tincknell,P,,GBR,,303,,,00:45:00,None,Thomas,Gamble,G,,GBR,,9549,,,00:45:00,None,,,,,,,,,,,,,,,,,,,,,,,,,
8,50,4,2:01.117,+0.464,+0.065,208.2,6,Ferrari AF Corse,HYPERCAR,,,Ferrari 499P,M,106981,6293,,6192,3,,,,FERRARI AF CORSE,,Antonio,Fuoco,P,,ITA,,10091,,,00:45:00,None,Miguel,Molina,P,,ESP,,8526,,,00:45:00,None,Nicklas,Nielsen,P,,DEN,,9432,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
9,93,4,2:01.198,+0.545,+0.081,208.0,6,Peugeot Totalenergies,HYPERCAR,,,Peugeot 9X8,M,106995,6151,,6112,4014,,,,PEUGEOT TE,,Paul,di Resta,P,,GBR,DIR,9293,,,00:45:00,None,Stoffel,Vandoorne,P,,BEL,,9520,,,00:45:00,None,Nicholas,Cassidy,P,,NZL,,9714,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
10,15,4,2:01.317,+0.664,+0.119,207.8,6,BMW M Team WRT,HYPERCAR,,,BMW M Hybrid V8,M,106968,6359,,6276,4354,,,,BMW M TEAM WRT,,Kevin,Magnussen,P,,DEN,,10211,,,00:45:00,None,Raffaele,Marciello,P,,SUI,,10402,,,00:45:00,None,Dries,Vanthoor,P,,BEL,,8292,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
