POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,50,3,1:49.725,-,-,177.6,30,Ferrari AF Corse,HYPERCAR,H,,Ferrari 499P,M,105154,6293,4167,6192,3,119,,,FERRARI AF,,Antonio,FUOCO,P,,ITA,,10091,119,,00:45:00,None,Miguel,MOLINA,P,,ESP,,8526,64,,00:45:00,None,Nicklas,NIELSEN,P,,DEN,,9432,57,,00:45:00,None,,,,,,,,,,,,,,,,,,,
2,7,4,1:49.737,+0.012,+0.012,177.5,30,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 - Hybrid,M,105139,380,4167,6206,2,121,,,TOYOTA GAZOO,,Mike,CONWAY,P,,GBR,,215,188,,00:45:00,None,Kamui,KOBAYASHI,P,,JPN,,210,121,,00:45:00,None,Nyck,DE VRIES,P,,NED,DEV,9152,178,,00:45:00,None,,,,,,,,,,,,,,,,,,,
3,83,3,1:50.064,+0.339,+0.327,177.0,29,AF Corse,HYPERCAR,H,,Ferrari 499P,M,105163,16,4167,6192,3,119,,HWC,AF CORSE,HWC,Robert,KUBICA,P,,POL,,8438,181,,00:45:00,None,Yifei,YE,G,,CHN,,10068,43,,00:45:00,None,Philip,HANSON,G,,GBR,,1946,188,,00:45:00,None,,,,,,,,,,,,,,,,,,,
4,009,3,1:50.135,+0.410,+0.071,176.9,29,Aston Martin Thor Team,HYPERCAR,,,Aston Martin Valkyrie,M,105141,6427,4167,6273,260,66,,,ASTON MARTIN,,Alex,RIBERAS,G,,ESP,,10376,64,,00:45:00,None,Marco,SORENSEN,P,,DEN,,11446,57,,00:45:00,None,Roman,DE ANGELIS,G,,CAN,DEA,10307,40,,00:45:00,None,,,,,,,,,,,,,,,,,,,
5,12,5,1:50.152,+0.427,+0.017,176.9,29,Cadillac Hertz Team JOTA,HYPERCAR,H,,Cadillac V-Series.R,M,105143,6429,4167,6203,4097,66,,,CADILLAC HTJ,,Alex,LYNN,P,,GBR,,11043,188,,00:45:00,None,Norman,NATO,G,,FRA,,9032,70,,00:45:00,None,Will,STEVENS,P,,GBR,,11044,188,,00:45:00,None,,,,,,,,,,,,,,,,,,,
6,94,4,1:50.291,+0.566,+0.139,176.7,29,Peugeot TotalEnergies,HYPERCAR,H,,Peugeot 9X8,M,105169,6151,4167,6112,4014,70,,,PEUGEOT TE,,Loïc,DUVAL,P,,FRA,,14,70,,00:45:00,None,Malthe,JAKOBSEN,G,,DEN,,9610,57,,00:45:00,None,Théo,POURCHAIRE,P,,FRA,,11672,70,,00:45:00,None,,,,,,,,,,,,,,,,,,,
7,51,8,1:50.345,+0.620,+0.054,176.6,28,Ferrari AF Corse,HYPERCAR,H,,Ferrari 499P,M,105155,6293,4167,6192,3,119,,,FERRARI AF,,Alessandro,PIER GUIDI,P,,ITA,PGU,340,119,,00:45:00,None,James,CALADO,P,,GBR,,300,188,,00:45:00,None,Antonio,GIOVINAZZI,P,,ITA,,1976,119,,00:45:00,None,,,,,,,,,,,,,,,,,,,
8,99,8,1:50.484,+0.759,+0.139,176.3,28,Proton Competition,HYPERCAR,H,,Porsche 963,M,105171,45,4167,6176,4368,5,,HWC,PROTON,HWC,Neel,JANI,P,,SUI,,16,219,,00:45:00,None,Nicolas,PINO,S,,CHI,,10281,42,,00:45:00,None,Nicolas,VARRONE,G,,ARG,,9853,13,,00:45:00,None,,,,,,,,,,,,,,,,,,,
9,93,4,1:50.533,+0.808,+0.049,176.3,26,Peugeot TotalEnergies,HYPERCAR,H,,Peugeot 9X8,M,105168,6151,4167,6112,4014,70,,,PEUGEOT TE,,Paul,DI RESTA,P,,GBR,DIR,9293,188,,00:45:00,None,Mikkel,JENSEN,P,,DEN,,8276,57,,00:45:00,None,Jean-Eric,VERGNE,P,,FRA,,8528,70,,00:45:00,None,,,,,,,,,,,,,,,,,,,
10,15,3,1:50.557,+0.832,+0.024,176.2,29,BMW M Team WRT,HYPERCAR,H,,BMW M Hybrid V8,M,105144,6359,4167,6188,4354,5,,,BMW M TEAM WRT,,Dries,VANTHOOR,P,,BEL,,8292,23,,00:45:00,None,Raffaele,MARCIELLO,P,,SUI,,10402,219,,00:45:00,None,Kevin,MAGNUSSEN,P,,DEN,,10211,57,,00:45:00,None,,,,,,,,,,,,,,,,,,,
